id,title,abstract
3886,Tourism: a visual leisure pursuit,"['this', 'paper', 'explores', 'the', 'way', 'in', 'which', 'tourism', 'is', 'located', 'within', 'an', 'inner', 'outer', 'dualism', 'with', 'respect', 'to', 'it', 'being', 'a', 'perceptual', 'experience', 'sightseeing', 'serf', 'to', 'construct', 'social', 'personal', 'world', 'in', 'the', 'sense', 'of', 'literally', 'guiding', 'the', 'tourist', 'to', 'what', 'should', 'be', 'viewed', 'how', 'these', 'are', 'then', 'translated', 'in', 'experience', 'of', 'place', 'this', 'kind', 'of', 'perceptual', 'cognitivism', 'is', 'a', 'cultural', 'commonplace', 'actively', 'maintained', 'in', 'the', 'accomplishment', 'of', 'a', 'range', 'of', 'social', 'practice', 'including', 'the', 'production', 'of', 'literature', 'associated', 'with', 'tourism', 'such', 'a', 'travel', 'guide', 'the', 'notion', 'of', 'tourist', 'site', 'a', 'sight', 'is', 'therefore', 'actively', 'constructed', 'and', 'come', 'to', 'define', 'the', 'nature', 'of', 'what', 'count', 'a', 'tourism', 'a', 'a', 'leisure', 'activity', 'such', 'site', 'might', 'include', 'building', 'religious', 'site', 'natural', 'scenery', 'so', 'on', 'some', 'may', 'be', 'listed', 'a', 'must', 'see', 'whilst', 'others', 'are', 'included', 'in', 'term', 'of', 'a', 'more', 'leisurely', 'or', 'wider', 'interest', 'this', 'activity', 'social', 'practice', 'preserve', 'an', 'ideology', 'of', 'tourism', 'a', 'the', 'journeying', 'of', 'psychological', 'individual', 'seeking', 'to', 'add', 'to', 'their', 'experience', 'it', 'is', 'argued', 'this', 'maintains', 'an', 'economy', 'of', 'tourism', 'rooted', 'in', 'a', 'psychological', 'discourse', 'of', 'perception', 'this', 'is', 'related', 'to', 'example', 'of', 'barcelona', 'a', 'a', 'tourist', 'destination']"
3886,Tourism: a visual leisure pursuit,"['this', 'paper', 'explores', 'the', 'way', 'in', 'which', 'tourism', 'is', 'located', 'within', 'an', 'inner', 'outer', 'dualism', 'with', 'respect', 'to', 'it', 'being', 'a', 'perceptual', 'experience', 'sightseeing', 'serf', 'to', 'construct', 'social', 'personal', 'world', 'in', 'the', 'sense', 'of', 'literally', 'guiding', 'the', 'tourist', 'to', 'what', 'should', 'be', 'viewed', 'how', 'these', 'are', 'then', 'translated', 'in', 'experience', 'of', 'place', 'this', 'kind', 'of', 'perceptual', 'cognitivism', 'is', 'a', 'cultural', 'commonplace', 'actively', 'maintained', 'in', 'the', 'accomplishment', 'of', 'a', 'range', 'of', 'social', 'practice', 'including', 'the', 'production', 'of', 'literature', 'associated', 'with', 'tourism', 'such', 'a', 'travel', 'guide', 'the', 'notion', 'of', 'tourist', 'site', 'a', 'sight', 'is', 'therefore', 'actively', 'constructed', 'and', 'come', 'to', 'define', 'the', 'nature', 'of', 'what', 'count', 'a', 'tourism', 'a', 'a', 'leisure', 'activity', 'such', 'site', 'might', 'include', 'building', 'religious', 'site', 'natural', 'scenery', 'so', 'on', 'some', 'may', 'be', 'listed', 'a', 'must', 'see', 'whilst', 'others', 'are', 'included', 'in', 'term', 'of', 'a', 'more', 'leisurely', 'or', 'wider', 'interest', 'this', 'activity', 'social', 'practice', 'preserve', 'an', 'ideology', 'of', 'tourism', 'a', 'the', 'journeying', 'of', 'psychological', 'individual', 'seeking', 'to', 'add', 'to', 'their', 'experience', 'it', 'is', 'argued', 'this', 'maintains', 'an', 'economy', 'of', 'tourism', 'rooted', 'in', 'a', 'psychological', 'discourse', 'of', 'perception', 'this', 'is', 'related', 'to', 'example', 'of', 'barcelona', 'a', 'a', 'tourist', 'destination']"
3886,Tourism: a visual leisure pursuit,"['this', 'paper', 'explores', 'the', 'way', 'in', 'which', 'tourism', 'is', 'located', 'within', 'an', 'inner', 'outer', 'dualism', 'with', 'respect', 'to', 'it', 'being', 'a', 'perceptual', 'experience', 'sightseeing', 'serf', 'to', 'construct', 'social', 'personal', 'world', 'in', 'the', 'sense', 'of', 'literally', 'guiding', 'the', 'tourist', 'to', 'what', 'should', 'be', 'viewed', 'how', 'these', 'are', 'then', 'translated', 'in', 'experience', 'of', 'place', 'this', 'kind', 'of', 'perceptual', 'cognitivism', 'is', 'a', 'cultural', 'commonplace', 'actively', 'maintained', 'in', 'the', 'accomplishment', 'of', 'a', 'range', 'of', 'social', 'practice', 'including', 'the', 'production', 'of', 'literature', 'associated', 'with', 'tourism', 'such', 'a', 'travel', 'guide', 'the', 'notion', 'of', 'tourist', 'site', 'a', 'sight', 'is', 'therefore', 'actively', 'constructed', 'and', 'come', 'to', 'define', 'the', 'nature', 'of', 'what', 'count', 'a', 'tourism', 'a', 'a', 'leisure', 'activity', 'such', 'site', 'might', 'include', 'building', 'religious', 'site', 'natural', 'scenery', 'so', 'on', 'some', 'may', 'be', 'listed', 'a', 'must', 'see', 'whilst', 'others', 'are', 'included', 'in', 'term', 'of', 'a', 'more', 'leisurely', 'or', 'wider', 'interest', 'this', 'activity', 'social', 'practice', 'preserve', 'an', 'ideology', 'of', 'tourism', 'a', 'the', 'journeying', 'of', 'psychological', 'individual', 'seeking', 'to', 'add', 'to', 'their', 'experience', 'it', 'is', 'argued', 'this', 'maintains', 'an', 'economy', 'of', 'tourism', 'rooted', 'in', 'a', 'psychological', 'discourse', 'of', 'perception', 'this', 'is', 'related', 'to', 'example', 'of', 'barcelona', 'a', 'a', 'tourist', 'destination']"
18929,What is mechatronics and why teach it?,"['despite', 'a', 'world', 'wide', 'interest', 'in', 'mechatronics', 'education', 'there', 'is', 'no', 'clear', 'and', 'consistent', 'understanding', 'of', 'what', 'mechatronics', 'is', 'nor', 'how', 'and', 'at', 'what', 'level', 'it', 'should', 'be', 'taught', 'the', 'key', 'challenge', 'for', 'mechatronics', 'course', 'designer', 'is', 'seen', 'a', 'that', 'of', 'ensuring', 'an', 'appropriate', 'balance', 'between', 'depth', 'and', 'breadth', 'while', 'providing', 'opportunity', 'to', 'enable', 'student', 'to', 'practise', 'integration', 'the', 'paper', 'discus', 'this', 'in', 'relation', 'to', 'a', 'number', 'of', 'mechatronic', 'theme', 'factor', 'influencing', 'the', 'design', 'structure', 'and', 'content', 'of', 'a', 'mechatronics', 'programme', 'are', 'discussed', 'and', 'suggestion', 'made', 'a', 'to', 'the', 'possible', 'core', 'content', 'of', 'such', 'a', 'programme']"
18929,What is mechatronics and why teach it?,"['despite', 'a', 'world', 'wide', 'interest', 'in', 'mechatronics', 'education', 'there', 'is', 'no', 'clear', 'and', 'consistent', 'understanding', 'of', 'what', 'mechatronics', 'is', 'nor', 'how', 'and', 'at', 'what', 'level', 'it', 'should', 'be', 'taught', 'the', 'key', 'challenge', 'for', 'mechatronics', 'course', 'designer', 'is', 'seen', 'a', 'that', 'of', 'ensuring', 'an', 'appropriate', 'balance', 'between', 'depth', 'and', 'breadth', 'while', 'providing', 'opportunity', 'to', 'enable', 'student', 'to', 'practise', 'integration', 'the', 'paper', 'discus', 'this', 'in', 'relation', 'to', 'a', 'number', 'of', 'mechatronic', 'theme', 'factor', 'influencing', 'the', 'design', 'structure', 'and', 'content', 'of', 'a', 'mechatronics', 'programme', 'are', 'discussed', 'and', 'suggestion', 'made', 'a', 'to', 'the', 'possible', 'core', 'content', 'of', 'such', 'a', 'programme']"
18929,What is mechatronics and why teach it?,"['despite', 'a', 'world', 'wide', 'interest', 'in', 'mechatronics', 'education', 'there', 'is', 'no', 'clear', 'and', 'consistent', 'understanding', 'of', 'what', 'mechatronics', 'is', 'nor', 'how', 'and', 'at', 'what', 'level', 'it', 'should', 'be', 'taught', 'the', 'key', 'challenge', 'for', 'mechatronics', 'course', 'designer', 'is', 'seen', 'a', 'that', 'of', 'ensuring', 'an', 'appropriate', 'balance', 'between', 'depth', 'and', 'breadth', 'while', 'providing', 'opportunity', 'to', 'enable', 'student', 'to', 'practise', 'integration', 'the', 'paper', 'discus', 'this', 'in', 'relation', 'to', 'a', 'number', 'of', 'mechatronic', 'theme', 'factor', 'influencing', 'the', 'design', 'structure', 'and', 'content', 'of', 'a', 'mechatronics', 'programme', 'are', 'discussed', 'and', 'suggestion', 'made', 'a', 'to', 'the', 'possible', 'core', 'content', 'of', 'such', 'a', 'programme']"
18931,Public and private owners: getting the message across,"['partner', 'in', 'the', 'interreg', 'iiib', 'project', 'urban', 'water', 'have', 'adopted', 'a', 'number', 'of', 'different', 'approach', 'and', 'timescales', 'to', 'rainwater', 'management', 'within', 'their', 'community', 'some', 'particularly', 'in', 'holland', 'have', 'adopted', 'disconnection', 'at', 'source', 'while', 'others', 'are', 'using', 'regional', 'based', 'approach', 'all', 'have', 'a', 'general', 'requirement', 'to', 'reduce', 'flooding', 'improve', 'water', 'quality', 'and', 'increase', 'the', 'attractiveness', 'of', 'river', 'because', 'of', 'the', 'density', 'of', 'population', 'in', 'north', 'west', 'europe', 'even', 'small', 'scale', 'improvement', 'to', 'reduce', 'the', 'incremental', 'effect', 'of', 'increasing', 'paved', 'area', 'are', 'necessary', 'this', 'paper', 'make', 'comparison', 'between', 'the', 'different', 'approach', 'to', 'water', 'and', 'land', 'management', 'being', 'adopted', 'in', 'the', 'area', 'of', 'the', 'project', 'partner', 'and', 'the', 'way', 'that', 'solution', 'are', 'being', 'adopted', 'within', 'the', 'context', 'of', 'public', 'and', 'private', 'ownership', 'most', 'community', 'have', 'developed', 'showcase', 'site', 'which', 'give', 'clear', 'indication', 'of', 'what', 'the', 'possible', 'improvement', 'available', 'are', 'these', 'improvement', 'project', 'which', 'are', 'within', 'the', 'local', 'community', 'generally', 'create', 'a', 'good', 'impression', 'of', 'stormwater', 'management', 'for', 'local', 'resident', 'all', 'of', 'the', 'demonstration', 'site', 'have', 'multiple', 'benefit', 'which', 'are', 'much', 'more', 'than', 'financial', 'for', 'example', 'they', 'may', 'include', 'visual', 'improvement', 'and', 'often', 'provide', 'increased', 'space', 'for', 'leisure', 'and', 'amenity', 'purpose', 'this', 'make', 'it', 'relatively', 'easy', 'to', 'make', 'a', 'good', 'case', 'for', 'the', 'change', 'required', 'for', 'effective', 'water', 'management', 'the', 'way', 'of', 'convincing', 'public', 'body', 'and', 'company', 'are', 'quite', 'different', 'and', 'are', 'based', 'on', 'regulatory', 'approach', 'through', 'the', 'planning', 'process', 'large', 'scale', 'method', 'of', 'addressing', 'problem', 'require', 'catchment', 'wide', 'solution', 'which', 'are', 'decided', 'at', 'a', 'macro', 'scale', 'and', 'generally', 'require', 'the', 'involvement', 'of', 'regional', 'government', 'the', 'public', 'may', 'then', 'be', 'consulted', 'about', 'the', 'detail', 'of', 'the', 'solution', 'required', 'this', 'paper', 'considers', 'of', 'the', 'issue', 'involved', 'in', 'storm', 'water', 'management', 'at', 'public', 'and', 'private', 'scale', 'the', 'principle', 'are', 'first', 'discussed', 'and', 'this', 'is', 'followed', 'by', 'key', 'lesson', 'from', 'each', 'of', 'the', 'project', 'partner', 'area', 'finally', 'conclusion', 'on', 'the', 'different', 'approach', 'are', 'made']"
18931,Public and private owners: getting the message across,"['partner', 'in', 'the', 'interreg', 'iiib', 'project', 'urban', 'water', 'have', 'adopted', 'a', 'number', 'of', 'different', 'approach', 'and', 'timescales', 'to', 'rainwater', 'management', 'within', 'their', 'community', 'some', 'particularly', 'in', 'holland', 'have', 'adopted', 'disconnection', 'at', 'source', 'while', 'others', 'are', 'using', 'regional', 'based', 'approach', 'all', 'have', 'a', 'general', 'requirement', 'to', 'reduce', 'flooding', 'improve', 'water', 'quality', 'and', 'increase', 'the', 'attractiveness', 'of', 'river', 'because', 'of', 'the', 'density', 'of', 'population', 'in', 'north', 'west', 'europe', 'even', 'small', 'scale', 'improvement', 'to', 'reduce', 'the', 'incremental', 'effect', 'of', 'increasing', 'paved', 'area', 'are', 'necessary', 'this', 'paper', 'make', 'comparison', 'between', 'the', 'different', 'approach', 'to', 'water', 'and', 'land', 'management', 'being', 'adopted', 'in', 'the', 'area', 'of', 'the', 'project', 'partner', 'and', 'the', 'way', 'that', 'solution', 'are', 'being', 'adopted', 'within', 'the', 'context', 'of', 'public', 'and', 'private', 'ownership', 'most', 'community', 'have', 'developed', 'showcase', 'site', 'which', 'give', 'clear', 'indication', 'of', 'what', 'the', 'possible', 'improvement', 'available', 'are', 'these', 'improvement', 'project', 'which', 'are', 'within', 'the', 'local', 'community', 'generally', 'create', 'a', 'good', 'impression', 'of', 'stormwater', 'management', 'for', 'local', 'resident', 'all', 'of', 'the', 'demonstration', 'site', 'have', 'multiple', 'benefit', 'which', 'are', 'much', 'more', 'than', 'financial', 'for', 'example', 'they', 'may', 'include', 'visual', 'improvement', 'and', 'often', 'provide', 'increased', 'space', 'for', 'leisure', 'and', 'amenity', 'purpose', 'this', 'make', 'it', 'relatively', 'easy', 'to', 'make', 'a', 'good', 'case', 'for', 'the', 'change', 'required', 'for', 'effective', 'water', 'management', 'the', 'way', 'of', 'convincing', 'public', 'body', 'and', 'company', 'are', 'quite', 'different', 'and', 'are', 'based', 'on', 'regulatory', 'approach', 'through', 'the', 'planning', 'process', 'large', 'scale', 'method', 'of', 'addressing', 'problem', 'require', 'catchment', 'wide', 'solution', 'which', 'are', 'decided', 'at', 'a', 'macro', 'scale', 'and', 'generally', 'require', 'the', 'involvement', 'of', 'regional', 'government', 'the', 'public', 'may', 'then', 'be', 'consulted', 'about', 'the', 'detail', 'of', 'the', 'solution', 'required', 'this', 'paper', 'considers', 'of', 'the', 'issue', 'involved', 'in', 'storm', 'water', 'management', 'at', 'public', 'and', 'private', 'scale', 'the', 'principle', 'are', 'first', 'discussed', 'and', 'this', 'is', 'followed', 'by', 'key', 'lesson', 'from', 'each', 'of', 'the', 'project', 'partner', 'area', 'finally', 'conclusion', 'on', 'the', 'different', 'approach', 'are', 'made']"
18931,Public and private owners: getting the message across,"['partner', 'in', 'the', 'interreg', 'iiib', 'project', 'urban', 'water', 'have', 'adopted', 'a', 'number', 'of', 'different', 'approach', 'and', 'timescales', 'to', 'rainwater', 'management', 'within', 'their', 'community', 'some', 'particularly', 'in', 'holland', 'have', 'adopted', 'disconnection', 'at', 'source', 'while', 'others', 'are', 'using', 'regional', 'based', 'approach', 'all', 'have', 'a', 'general', 'requirement', 'to', 'reduce', 'flooding', 'improve', 'water', 'quality', 'and', 'increase', 'the', 'attractiveness', 'of', 'river', 'because', 'of', 'the', 'density', 'of', 'population', 'in', 'north', 'west', 'europe', 'even', 'small', 'scale', 'improvement', 'to', 'reduce', 'the', 'incremental', 'effect', 'of', 'increasing', 'paved', 'area', 'are', 'necessary', 'this', 'paper', 'make', 'comparison', 'between', 'the', 'different', 'approach', 'to', 'water', 'and', 'land', 'management', 'being', 'adopted', 'in', 'the', 'area', 'of', 'the', 'project', 'partner', 'and', 'the', 'way', 'that', 'solution', 'are', 'being', 'adopted', 'within', 'the', 'context', 'of', 'public', 'and', 'private', 'ownership', 'most', 'community', 'have', 'developed', 'showcase', 'site', 'which', 'give', 'clear', 'indication', 'of', 'what', 'the', 'possible', 'improvement', 'available', 'are', 'these', 'improvement', 'project', 'which', 'are', 'within', 'the', 'local', 'community', 'generally', 'create', 'a', 'good', 'impression', 'of', 'stormwater', 'management', 'for', 'local', 'resident', 'all', 'of', 'the', 'demonstration', 'site', 'have', 'multiple', 'benefit', 'which', 'are', 'much', 'more', 'than', 'financial', 'for', 'example', 'they', 'may', 'include', 'visual', 'improvement', 'and', 'often', 'provide', 'increased', 'space', 'for', 'leisure', 'and', 'amenity', 'purpose', 'this', 'make', 'it', 'relatively', 'easy', 'to', 'make', 'a', 'good', 'case', 'for', 'the', 'change', 'required', 'for', 'effective', 'water', 'management', 'the', 'way', 'of', 'convincing', 'public', 'body', 'and', 'company', 'are', 'quite', 'different', 'and', 'are', 'based', 'on', 'regulatory', 'approach', 'through', 'the', 'planning', 'process', 'large', 'scale', 'method', 'of', 'addressing', 'problem', 'require', 'catchment', 'wide', 'solution', 'which', 'are', 'decided', 'at', 'a', 'macro', 'scale', 'and', 'generally', 'require', 'the', 'involvement', 'of', 'regional', 'government', 'the', 'public', 'may', 'then', 'be', 'consulted', 'about', 'the', 'detail', 'of', 'the', 'solution', 'required', 'this', 'paper', 'considers', 'of', 'the', 'issue', 'involved', 'in', 'storm', 'water', 'management', 'at', 'public', 'and', 'private', 'scale', 'the', 'principle', 'are', 'first', 'discussed', 'and', 'this', 'is', 'followed', 'by', 'key', 'lesson', 'from', 'each', 'of', 'the', 'project', 'partner', 'area', 'finally', 'conclusion', 'on', 'the', 'different', 'approach', 'are', 'made']"
18932,Comparison between the performance of ANN-based loss of mains relays using multi-layer and non-layered perceptron approaches,"['loss', 'of', 'main', 'is', 'a', 'condition', 'whereby', 'an', 'embedded', 'distributed', 'generator', 'becomes', 'islanded', 'with', 'part', 'of', 'a', 'public', 'load', 'this', 'is', 'usually', 'caused', 'by', 'disturbance', 'on', 'the', 'associated', 'utility', 'network', 'which', 'result', 'in', 'having', 'an', 'eg', 'embedded', 'generation', 'to', 'become', 'islanded', 'with', 'a', 'public', 'load', 'this', 'condition', 'is', 'highly', 'undesirable', 'and', 'should', 'be', 'correctly', 'detected', 'in', 'order', 'to', 'ensure', 'the', 'tripping', 'of', 'the', 'generator', 'affected', 'by', 'such', 'condition', 'currently', 'the', 'two', 'method', 'most', 'commonly', 'in', 'use', 'to', 'detect', 'lom', 'loss', 'of', 'main', 'utilise', 'rocof', 'rate', 'of', 'change', 'of', 'frequency', 'and', 'pdm', 'vector', 'surge', 'technique', 'either', 'on', 'their', 'own', 'or', 'in', 'tandem', 'however', 'these', 'method', 'have', 'not', 'proved', 'to', 'be', 'totally', 'reliable', 'this', 'paper', 'report', 'the', 'development', 'of', 'a', 'new', 'relay', 'for', 'detecting', 'lom', 'it', 'is', 'based', 'on', 'the', 'application', 'of', 'artificial', 'neural', 'network', 'ann', 'two', 'ann', 'architecture', 'have', 'been', 'considered', 'one', 'based', 'on', 'multi', 'layer', 'perceptron', 'approach', 'while', 'the', 'other', 'based', 'on', 'a', 'non', 'layered', 'approach', 'using', 'neuralworks', 'predict', 'feature']"
