id,title,abstract
3886,Tourism: a visual leisure pursuit,"['paper', 'explores', 'way', 'tourism', 'located', 'within', 'inner', 'outer', 'dualism', 'respect', 'perceptual', 'experience', 'sightseeing', 'serf', 'construct', 'social', 'personal', 'world', 'sense', 'literally', 'guiding', 'tourist', 'viewed', 'translated', 'experience', 'place', 'kind', 'perceptual', 'cognitivism', 'cultural', 'commonplace', 'actively', 'maintained', 'accomplishment', 'range', 'social', 'practice', 'including', 'production', 'literature', 'associated', 'tourism', 'travel', 'guide', 'notion', 'tourist', 'site', 'sight', 'therefore', 'actively', 'constructed', 'come', 'define', 'nature', 'count', 'tourism', 'leisure', 'activity', 'site', 'might', 'include', 'building', 'religious', 'site', 'natural', 'scenery', 'may', 'listed', 'must', 'see', 'whilst', 'others', 'included', 'term', 'leisurely', 'wider', 'interest', 'activity', 'social', 'practice', 'preserve', 'ideology', 'tourism', 'journeying', 'psychological', 'individual', 'seeking', 'add', 'experience', 'argued', 'maintains', 'economy', 'tourism', 'rooted', 'psychological', 'discourse', 'perception', 'related', 'example', 'barcelona', 'tourist', 'destination']"
18929,What is mechatronics and why teach it?,"['despite', 'world', 'wide', 'interest', 'mechatronics', 'education', 'clear', 'consistent', 'understanding', 'mechatronics', 'level', 'taught', 'key', 'challenge', 'mechatronics', 'course', 'designer', 'seen', 'ensuring', 'appropriate', 'balance', 'depth', 'breadth', 'providing', 'opportunity', 'enable', 'student', 'practise', 'integration', 'paper', 'discus', 'relation', 'number', 'mechatronic', 'theme', 'factor', 'influencing', 'design', 'structure', 'content', 'mechatronics', 'programme', 'discussed', 'suggestion', 'made', 'possible', 'core', 'content', 'programme']"
18931,Public and private owners: getting the message across,"['partner', 'interreg', 'iiib', 'project', 'urban', 'water', 'adopted', 'number', 'different', 'approach', 'timescales', 'rainwater', 'management', 'within', 'community', 'particularly', 'holland', 'adopted', 'disconnection', 'source', 'others', 'using', 'regional', 'based', 'approach', 'general', 'requirement', 'reduce', 'flooding', 'improve', 'water', 'quality', 'increase', 'attractiveness', 'river', 'density', 'population', 'north', 'west', 'europe', 'even', 'small', 'scale', 'improvement', 'reduce', 'incremental', 'effect', 'increasing', 'paved', 'area', 'necessary', 'paper', 'make', 'comparison', 'different', 'approach', 'water', 'land', 'management', 'adopted', 'area', 'project', 'partner', 'way', 'solution', 'adopted', 'within', 'context', 'public', 'private', 'ownership', 'community', 'developed', 'showcase', 'site', 'give', 'clear', 'indication', 'possible', 'improvement', 'available', 'improvement', 'project', 'within', 'local', 'community', 'generally', 'create', 'good', 'impression', 'stormwater', 'management', 'local', 'resident', 'demonstration', 'site', 'multiple', 'benefit', 'much', 'financial', 'example', 'may', 'include', 'visual', 'improvement', 'often', 'provide', 'increased', 'space', 'leisure', 'amenity', 'purpose', 'make', 'relatively', 'easy', 'make', 'good', 'case', 'change', 'required', 'effective', 'water', 'management', 'way', 'convincing', 'public', 'body', 'company', 'quite', 'different', 'based', 'regulatory', 'approach', 'planning', 'process', 'large', 'scale', 'method', 'addressing', 'problem', 'require', 'catchment', 'wide', 'solution', 'decided', 'macro', 'scale', 'generally', 'require', 'involvement', 'regional', 'government', 'public', 'may', 'consulted', 'detail', 'solution', 'required', 'paper', 'considers', 'issue', 'involved', 'storm', 'water', 'management', 'public', 'private', 'scale', 'principle', 'first', 'discussed', 'followed', 'key', 'lesson', 'project', 'partner', 'area', 'finally', 'conclusion', 'different', 'approach', 'made']"
18932,Comparison between the performance of ANN-based loss of mains relays using multi-layer and non-layered perceptron approaches,"['loss', 'main', 'condition', 'whereby', 'embedded', 'distributed', 'generator', 'becomes', 'islanded', 'part', 'public', 'load', 'usually', 'caused', 'disturbance', 'associated', 'utility', 'network', 'result', 'eg', 'embedded', 'generation', 'become', 'islanded', 'public', 'load', 'condition', 'highly', 'undesirable', 'correctly', 'detected', 'order', 'ensure', 'tripping', 'generator', 'affected', 'condition', 'currently', 'two', 'method', 'commonly', 'use', 'detect', 'lom', 'loss', 'main', 'utilise', 'rocof', 'rate', 'change', 'frequency', 'pdm', 'vector', 'surge', 'technique', 'either', 'tandem', 'however', 'method', 'proved', 'totally', 'reliable', 'paper', 'report', 'development', 'new', 'relay', 'detecting', 'lom', 'based', 'application', 'artificial', 'neural', 'network', 'ann', 'two', 'ann', 'architecture', 'considered', 'one', 'based', 'multi', 'layer', 'perceptron', 'approach', 'based', 'non', 'layered', 'approach', 'using', 'neuralworks', 'predict', 'feature']"
18933,125th anniversary review: fuel alcohol: current production and future challenges,"['global', 'research', 'industrial', 'development', 'liquid', 'transportation', 'biofuels', 'moving', 'rapid', 'pace', 'mainly', 'due', 'significant', 'role', 'played', 'biofuels', 'decarbonising', 'future', 'energy', 'need', 'since', 'act', 'mitigate', 'deleterious', 'impact', 'greenhouse', 'gas', 'emission', 'atmosphere', 'contributor', 'climate', 'change', 'governmental', 'obligation', 'international', 'directive', 'mandate', 'blending', 'biofuels', 'petrol', 'diesel', 'also', 'acting', 'great', 'stimulus', 'expanding', 'industrial', 'sector', 'currently', 'predominant', 'liquid', 'biofuel', 'bioethanol', 'fuel', 'alcohol', 'worldwide', 'production', 'dominated', 'maize', 'based', 'sugar', 'cane', 'based', 'process', 'north', 'south', 'america', 'respectively', 'europe', 'fuel', 'alcohol', 'production', 'employ', 'primarily', 'wheat', 'sugar', 'beet', 'potable', 'distilled', 'spirit', 'production', 'fuel', 'alcohol', 'process', 'share', 'many', 'similarity', 'term', 'starch', 'bioconversion', 'fermentation', 'distillation', 'co', 'product', 'utilisation', 'key', 'difference', 'example', 'certain', 'bioethanol', 'fermentation', 'possible', 'yield', 'consistently', 'high', 'ethanol', 'concentration', 'v', 'v', 'emerging', 'fuel', 'alcohol', 'process', 'exploit', 'lignocellulosic', 'feedstock', 'scientific', 'technological', 'constraint', 'involved', 'depolymerising', 'material', 'efficiently', 'fermenting', 'hydrolysate', 'sugar', 'overcome', 'called', 'secondgeneration', 'fuel', 'alcohol', 'process', 'much', 'environmentally', 'ethically', 'acceptable', 'compared', 'exploitation', 'starch', 'sugar', 'resource', 'especially', 'considering', 'utilisation', 'residual', 'agricultural', 'biomass', 'biowastes', 'review', 'cover', 'first', 'second', 'generation', 'bioethanol', 'process', 'focus', 'current', 'challenge', 'future', 'opportunity', 'lignocellulose', 'ethanol', 'technology', 'move', 'demonstration', 'pilot', 'plant', 'full', 'scale', 'industrial', 'facility']"
18935,Tipping the scales: talking about women in science and work-life balance,"['paper', 'adopts', 'discourse', 'analytic', 'position', 'regard', 'talk', 'woman', 'science', 'issue', 'work', 'life', 'balance', 'examined', 'point', 'view', 'looking', 'essentialized', 'woman', 'problem', 'overcome', 'term', 'working', 'towards', 'achieving', 'optimum', 'balance', 'framed', 'term', 'pursuing', 'demanding', 'scientific', 'career', 'versus', 'personal', 'life', 'centred', 'home', 'family', 'kind', 'dichotomy', 'allows', 'different', 'aspect', 'self', 'pitted', 'professional', 'career', 'orientated', 'aspect', 'personal', 'relationship', 'aspect', 'presented', 'psychological', 'tension', 'played', 'term', 'search', 'balance', 'two', 'scale', 'tip', 'one', 'direction', 'assumed', 'problematic', 'one', 'sacrificed', 'expense', 'particularly', 'important', 'term', 'scientific', 'career', 'often', 'characterised', 'requiring', 'rational', 'approach', 'often', 'involving', 'long', 'hour', 'devoted', 'experimental', 'work', 'opposition', 'world', 'relationship', 'family', 'taken', 'emotive', 'satisfying', 'term', 'personal', 'need', 'dichotomy', 'examined', 'constructed', 'manner', 'maintains', 'status', 'quo', 'woman', 'given', 'huge', 'social', 'cultural', 'imperative', 'placed', 'woman', 'child', 'take', 'time', 'employment', 'look', 'discussed', 'term', 'ideological', 'effect', 'ensue', 'woman', 'wish', 'pursue', 'scientific', 'career', 'considered', 'going', 'natural', 'caring', 'inclination', 'presenting', 'lack', 'balance', 'serf', 'construct', 'problematic', 'position', 'woman', 'science', 'also', 'essentializes', 'science', 'particular', 'way', 'requiring', 'certain', 'kind', 'person', 'argued', 'accomplished', 'variety', 'discourse', 'legitimate', 'gendering', 'science', 'paper', 'concludes', 'challenging', 'whole', 'notion', 'work', 'life', 'balance', 'something', 'relevant', 'woman', 'men', 'programme', 'need', 'put', 'place', 'accomplish', 'balance', 'scale', 'need', 'recalibrated', 'take', 'account', 'dichotomy', 'taken', 'given']"
18937,Studying dilemmas in gender-neutral discourse,"['paper', 'considers', 'ideological', 'effect', 'recent', 'person', 'centred', 'discourse', 'concerning', 'personal', 'development', 'planning', 'pdp', 'work', 'life', 'balance', 'wlb', 'two', 'inter', 'related', 'area', 'examined', 'key', 'site', 'discourse', 'student', 'participation', 'higher', 'education', 'notion', 'work', 'life', 'balance', 'pursuing', 'professional', 'career', 'whilst', 'face', 'discourse', 'may', 'seem', 'personally', 'liberating', 'number', 'problematic', 'issue', 'follow', 'inward', 'focus', 'personal', 'reflection', 'particularly', 'relation', 'gender', 'root', 'inherent', 'voluntarism', 'focus', 'concomitant', 'dissolving', 'gender', 'impact', 'upon', 'individual']"
18938,Personal development planning and graduate attributes: balancing employability and citizenship,"['introduction', 'much', 'made', 'student', 'reflecting', 'experience', 'higher', 'education', 'personal', 'development', 'planning', 'pdp', 'acquisition', 'documenting', 'graduate', 'attribute', 'gas', 'become', 'translated', 'curricular', 'pedagogical', 'development', 'related', 'constructivist', 'enquiry', 'based', 'learning', 'suggested', 'approach', 'necessary', 'given', 'need', 'creativity', 'flexibility', 'demanded', 'globalised', 'knowledge', 'economy', 'aim', 'study', 'paper', 'considers', 'discourse', 'acquired', 'gas', 'within', 'broader', 'sociological', 'theorisation', 'relationship', 'employability', 'citizenship', 'individual', 'expected', 'reflexively', 'engage', 'process', 'development', 'gas', 'within', 'context', 'educational', 'study', 'material', 'method', 'review', 'recent', 'empirical', 'conceptual', 'work', 'relation', 'pdp', 'gas', 'higher', 'education', 'undertaken', 'elucidate', 'discourse', 'brought', 'play', 'underpin', 'initiative', 'particular', 'reference', 'u', 'k', 'result', 'result', 'framed', 'term', 'ideological', 'issue', 'emerging', 'review', 'study', 'posited', 'term', 'tension', 'personal', 'socio', 'political', 'aspect', 'pdp', 'ga', 'one', 'hand', 'employability', 'versus', 'citizenship', 'dimension', 'conclusion', 'whilst', 'apparently', 'student', 'centred', 'approach', 'may', 'face', 'appear', 'liberating', 'productive', 'independent', 'adaptable', 'flexible', 'graduate', 'nevertheless', 'argued', 'deeply', 'ideological', 'promoting', 'connection', 'education', 'knowledge', 'economy', 'attribute', 'gas', 'engine', 'economy', 'located', 'within', 'agency', 'individual', 'also', 'required', 'equal', 'focus', 'notion', 'citizenship']"
18939,The democratic intellectual?,"['paper', 'revisits', 'davie', 'notion', 'democratic', 'intellect', 'role', 'intellectual', 'society', 'become', 'ever', 'specialist', 'bound', 'income', 'generation', 'gone', 'notion', 'intellectual', 'someone', 'share', 'knowledge', 'wider', 'public', 'rather', 'interested', 'stakeholder', 'yet', 'yeo', 'point', 'intellectual', 'professional', 'academic', 'much', 'business', 'excluding', 'rather', 'including', 'others', 'activity', 'engage', 'intellectual', 'work', 'interesting', 'scotland', 'beginning', 'debunking', 'notion', 'democratic', 'intellect', 'barr', 'myth', 'academic', 'servant', 'public', 'still', 'strongly', 'held', 'knowledge', 'production', 'rather', 'still', 'dominant', 'epistemological', 'modus', 'operandi', 'even', 'area', 'sociology', 'would', 'reasonably', 'expected', 'public', 'sociology', 'would', 'deliver', 'much', 'wider', 'sense', 'gaining', 'knowledge', 'outside', 'wall', 'academia', 'much', 'way', 'genuine', 'two', 'way', 'street', 'public', 'intellectual', 'come', 'time', 'public', 'purse', 'higher', 'education', 'open', 'intense', 'scrutiny', 'argument', 'advanced', 'perhaps', 'current', 'financial', 'woe', 'give', 'stimulus', 'intellectual', 'connecting', 'public', 'way']"
18941,Graduate attributes for citizenship in the 21st century: The Scottish enhancement theme approach,"['graduate', 'require', 'range', 'attribute', 'enable', 'deal', 'employability', 'also', 'increasing', 'concern', 'global', 'citizenship', 'paper', 'evaluates', 'scottish', 'graduate', '21st', 'century', 'enhancement', 'theme', 'within', 'context', 'well', 'increasing', 'focus', 'personalisation', 'implication', 'curricular', 'design', 'pedagogy', 'engender', 'profound', 'form', 'personalisation', 'discussed']"
